"id"	"id.orig"	"file.speaker.id"	"text.id"	"subfile.id"	"spk.ref"	"sex"	"age"	"ethnicity"	"occupation"	"speech.unit.count"	"word.count"
39	39	"<S1A-015#1:S>"	"S1A015"	"1"	"S"	"female"	"20-24"	"Samoan"	"Student"	126	617
40	40	"<S1A-016#1:I>"	"S1A016"	"1"	"I"	"male"	"20-24"	"Pakeha"	NA	127	1128
41	41	"<S1A-016#1:R>"	"S1A016"	"1"	"R"	"male"	"20-24"	"Pakeha"	"Food Delivery"	101	857
42	42	"<S1A-017#1:A>"	"S1A017"	"1"	"A"	"female"	"16-19"	"Pakeha"	"Clerical"	242	1653
43	43	"<S1A-017#1:B>"	"S1A017"	"1"	"B"	"female"	"16-19"	"Pakeha"	"Nanny"	228	947
44	44	"<S1A-018#1:A>"	"S1A018"	"1"	"A"	"female"	"55-59"	"Pakeha"	"Teacher (Home Economics)"	141	1017
45	45	"<S1A-018#1:L>"	"S1A018"	"1"	"L"	"female"	NA	"Pakeha"	NA	171	920
46	46	"<S1A-019#1:A>"	"S1A019"	"1"	"A"	"female"	"30-34"	"Pakeha"	"ESL Tutor"	106	399
47	47	"<S1A-019#1:B>"	"S1A019"	"1"	"B"	"female"	NA	"Pakeha"	NA	168	1580
48	48	"<S1A-020#1:A>"	"S1A020"	"1"	"A"	"male"	"25-29"	"Pakeha"	"Musician"	121	1096
49	49	"<S1A-020#1:B>"	"S1A020"	"1"	"B"	"male"	"20-24"	"Pakeha"	"Self Employed Musician"	111	954
50	50	"<S1A-021#1:A>"	"S1A021"	"1"	"A"	"female"	"20-24"	"Pakeha"	"Student"	204	1425
51	51	"<S1A-021#1:B>"	"S1A021"	"1"	"B"	"female"	"16-19"	"Pakeha"	"Student"	137	582
52	52	"<S1A-022#1:B>"	"S1A022"	"1"	"B"	"female"	"16-19"	"Pakeha"	NA	163	1354
53	53	"<S1A-022#1:H>"	"S1A022"	"1"	"H"	"female"	"16-19"	"Pakeha"	NA	104	628
54	54	"<S1A-023#1:D>"	"S1A023"	"1"	"D"	"female"	"50-54"	"Pakeha"	"Public Affairs Manager"	104	747
55	55	"<S1A-023#1:M>"	"S1A023"	"1"	"M"	"female"	NA	"Pakeha"	NA	156	1195
56	56	"<S1A-023#1:X>"	"S1A023"	"1"	"X"	"female"	NA	NA	NA	37	10
57	57	"<S1A-024#1:F>"	"S1A024"	"1"	"F"	"female"	"25-29"	"Pakeha"	"Occupational Therapist"	119	584
58	58	"<S1A-024#1:M>"	"S1A024"	"1"	"M"	"male"	"30-34"	"Pakeha"	"Property Developer"	161	1399
59	59	"<S1A-025#1:M>"	"S1A025"	"1"	"M"	"female"	"35-39"	"Maori"	"Teachers Aide"	154	1011
60	60	"<S1A-025#1:P>"	"S1A025"	"1"	"P"	"female"	"40-44"	"Pakeha"	"Early Childhood Teacher"	134	971
61	61	"<S1A-026#1:?>"	"S1A026"	"1"	"?"	NA	NA	NA	NA	1	0
62	62	"<S1A-026#1:A>"	"S1A026"	"1"	"A"	"female"	"20-24"	"Pakeha"	NA	107	622
63	63	"<S1A-026#1:T>"	"S1A026"	"1"	"T"	"male"	"25-29"	"Pakeha"	NA	169	1295
64	64	"<S1A-026#1:X>"	"S1A026"	"1"	"X"	"male"	NA	NA	NA	143	23
65	65	"<S1A-027#1:L>"	"S1A027"	"1"	"L"	"female"	"20-24"	"Pakeha"	"P/T Cleaner/Student"	112	920
66	66	"<S1A-027#1:M>"	"S1A027"	"1"	"M"	"male"	"65-69"	"Pakeha"	NA	93	1059
67	67	"<S1A-027#1:N>"	"S1A027"	"1"	"N"	"female"	"50-54"	"Pakeha"	"Librarian"	41	433
68	68	"<S1A-028#1:A>"	"S1A028"	"1"	"A"	"female"	"50-54"	"Pakeha"	NA	209	1194
69	69	"<S1A-028#1:B>"	"S1A028"	"1"	"B"	"female"	"50-54"	"Pakeha"	"Nanny"	195	1061
70	70	"<S1A-028#1:X>"	"S1A028"	"1"	"X"	"female"	NA	NA	NA	1	0
71	71	"<S1A-029#1:C>"	"S1A029"	"1"	"C"	"female"	"20-24"	"Chinese"	"Receptionist"	186	949
72	72	"<S1A-029#1:D>"	"S1A029"	"1"	"D"	"male"	"25-29"	"Chinese"	NA	212	957
73	73	"<S1A-030#1:E>"	"S1A030"	"1"	"E"	"female"	"30-34"	"Maori"	NA	91	860
74	74	"<S1A-030#1:K>"	"S1A030"	"1"	"K"	"female"	"20-24"	"Maori/Pakeha"	NA	124	1228
75	75	"<S1A-031#1:A>"	"S1A031"	"1"	"A"	"female"	"20-24"	"Pakeha"	NA	180	1016
76	76	"<S1A-031#1:B>"	"S1A031"	"1"	"B"	"female"	"20-24"	"Pakeha"	NA	173	1161
77	77	"<S1A-032#1:D>"	"S1A032"	"1"	"D"	"male"	"45-49"	"Pakeha"	NA	148	1182
78	78	"<S1A-032#1:S>"	"S1A032"	"1"	"S"	"female"	"30-34"	"Pakeha"	"P/T Cleaner"	115	813
79	79	"<S1A-033#1:A>"	"S1A033"	"1"	"A"	"male"	"16-19"	"Pakeha"	"Apprentice Mechanic"	128	1279
80	80	"<S1A-033#1:B>"	"S1A033"	"1"	"B"	"male"	"45-49"	"Pakeha"	"Service Station Attendant"	118	1149
81	81	"<S1A-034#1:F>"	"S1A034"	"1"	"F"	"female"	"16-19"	"Pakeha"	"Book Shop Assistant"	148	628
82	82	"<S1A-034#1:M>"	"S1A034"	"1"	"M"	"male"	"16-19"	"Pakeha"	NA	162	1333
83	83	"<S1A-035#1:D>"	"S1A035"	"1"	"D"	"male"	"30-34"	"Pakeha"	"Cook"	125	626
84	84	"<S1A-035#1:R>"	"S1A035"	"1"	"R"	"male"	"35-39"	"Pakeha"	"Primary Health Social Worker"	207	1508
85	85	"<S1A-036#1:A>"	"S1A036"	"1"	"A"	"female"	"20-24"	"Pakeha"	"Teacher"	217	1669
86	86	"<S1A-036#1:B>"	"S1A036"	"1"	"B"	"female"	"20-24"	"Pakeha"	"P/T Vet's Nurse/Student"	197	1085
87	87	"<S1A-037#1:J>"	"S1A037"	"1"	"J"	"male"	"20-24"	"Pakeha"	"Bank Officer"	155	762
88	88	"<S1A-037#1:M>"	"S1A037"	"1"	"M"	"male"	"20-24"	"Pakeha"	"Insurance Clerk"	164	1104
89	89	"<S1A-038#1:M>"	"S1A038"	"1"	"M"	"male"	"20-24"	"Maori/Pakeha"	"Joiner"	236	1222
90	90	"<S1A-038#1:P>"	"S1A038"	"1"	"P"	"male"	"20-24"	"Pakeha"	"Car Salesman"	243	1789
91	91	"<S1A-039#1:Q>"	"S1A039"	"1"	"Q"	"female"	"16-19"	"Pakeha"	NA	141	1077
92	92	"<S1A-039#1:T>"	"S1A039"	"1"	"T"	"female"	"16-19"	"Pakeha"	NA	118	782
93	93	"<S1A-040#1:A>"	"S1A040"	"1"	"A"	"female"	"16-19"	"Pakeha"	"P/T Tutor/KFC/Student"	116	1143
94	94	"<S1A-040#1:V>"	"S1A040"	"1"	"V"	"female"	"16-19"	"Pakeha"	"Catering"	102	790
95	95	"<S1A-041#1:J>"	"S1A041"	"1"	"J"	"male"	"20-24"	"Pakeha/Asian"	NA	150	1611
96	96	"<S1A-041#1:V>"	"S1A041"	"1"	"V"	"female"	"20-24"	"Pakeha/Samoan"	NA	79	317
97	97	"<S1A-042#1:B>"	"S1A042"	"1"	"B"	"female"	"20-24"	"Pakeha"	"P/T Waitress/Student"	152	1106
98	98	"<S1A-042#1:J>"	"S1A042"	"1"	"J"	"female"	"20-24"	"Pakeha/Samoan"	NA	130	824
99	99	"<S1A-043#1:L>"	"S1A043"	"1"	"L"	"female"	"20-24"	"Pakeha"	"Student"	131	924
100	100	"<S1A-043#1:S>"	"S1A043"	"1"	"S"	"female"	"16-19"	"Pakeha"	"Jewellery Salesperson"	155	1058
101	101	"<S1A-043#1:X>"	"S1A043"	"1"	"X"	"female"	NA	NA	NA	2	0
102	102	"<S1A-044#1:?>"	"S1A044"	"1"	"?"	NA	NA	NA	NA	2	1
103	103	"<S1A-044#1:J>"	"S1A044"	"1"	"J"	"male"	"16-19"	"Pakeha"	"Student"	119	554
104	104	"<S1A-044#1:K>"	"S1A044"	"1"	"K"	"female"	"16-19"	"Pakeha"	"P/T Cafe Worker"	123	634
105	105	"<S1A-044#1:S>"	"S1A044"	"1"	"S"	"male"	"16-19"	"Pakeha"	"Student"	155	671
106	106	"<S1A-045#1:?>"	"S1A045"	"1"	"?"	NA	NA	NA	NA	1	1
107	107	"<S1A-045#1:B>"	"S1A045"	"1"	"B"	"female"	NA	"Pakeha"	"Retired"	78	533
108	108	"<S1A-045#1:F>"	"S1A045"	"1"	"F"	"female"	"16-19"	"Pakeha"	NA	81	330
109	109	"<S1A-045#1:M>"	"S1A045"	"1"	"M"	"male"	NA	"Pakeha"	"Retired"	128	1085
110	110	"<S1A-046#1:M>"	"S1A046"	"1"	"M"	"female"	"20-24"	"Pakeha"	"Receptionist/Secretary"	221	840
111	111	"<S1A-046#1:V>"	"S1A046"	"1"	"V"	"female"	"20-24"	"Pakeha"	"Ambulance Officer"	254	2505
112	112	"<S1A-047#1:A>"	"S1A047"	"1"	"A"	"male"	"20-24"	"Pakeha"	"Builder"	103	615
113	113	"<S1A-047#1:B>"	"S1A047"	"1"	"B"	"male"	"20-24"	"Pakeha"	NA	145	952
114	114	"<S1A-047#1:C>"	"S1A047"	"1"	"C"	"male"	"20-24"	"Pakeha"	NA	65	306
115	115	"<S1A-047#1:D>"	"S1A047"	"1"	"D"	"male"	"20-24"	"Pakeha"	"P/T Japanese Tutor"	58	257
116	116	"<S1A-048#1:A>"	"S1A048"	"1"	"A"	"female"	"20-24"	"Pakeha"	"P/T Shop Assistant"	154	1124
117	117	"<S1A-048#1:B>"	"S1A048"	"1"	"B"	"female"	"16-19"	"Pakeha"	NA	165	924
118	118	"<S1A-049#1:M>"	"S1A049"	"1"	"M"	"male"	"65-69"	"Pakeha"	"Auctioneer"	201	1524
119	119	"<S1A-049#1:T>"	"S1A049"	"1"	"T"	"male"	"25-29"	"Pakeha"	"Marketing Rep"	161	730
120	120	"<S1A-050#1:A>"	"S1A050"	"1"	"A"	"female"	"45-49"	"Pakeha"	"Teacher"	136	1055
121	121	"<S1A-050#1:B>"	"S1A050"	"1"	"B"	"female"	"35-39"	"Pakeha"	"Shop Owner"	140	923
122	122	"<S1A-051#1:A>"	"S1A051"	"1"	"A"	"female"	"20-24"	"Pakeha"	"Waitress/Bartender"	132	969
123	123	"<S1A-051#1:G>"	"S1A051"	"1"	"G"	"female"	"20-24"	"Pakeha"	NA	159	976
124	124	"<S1A-052#1:A>"	"S1A052"	"1"	"A"	"male"	"30-34"	"Pakeha"	"Firefighter"	56	361
125	125	"<S1A-052#1:B>"	"S1A052"	"1"	"B"	"male"	"30-34"	"Pakeha"	"Firefighter"	150	1351
126	126	"<S1A-052#1:C>"	"S1A052"	"1"	"C"	"male"	"40-44"	"Pakeha"	"Firefighter"	57	431
127	127	"<S1A-052#1:X>"	"S1A052"	"1"	"X"	"male"	NA	NA	NA	3	0
128	128	"<S1A-053#1:?>"	"S1A053"	"1"	"?"	NA	NA	NA	NA	7	0
129	129	"<S1A-053#1:C>"	"S1A053"	"1"	"C"	"female"	"20-24"	"Pakeha/Maori"	NA	127	549
130	130	"<S1A-053#1:K>"	"S1A053"	"1"	"K"	"female"	"20-24"	"Pakeha"	NA	157	882
131	131	"<S1A-053#1:L>"	"S1A053"	"1"	"L"	"female"	"20-24"	"Pakeha"	NA	137	520
132	132	"<S1A-054#1:D>"	"S1A054"	"1"	"D"	"male"	"25-29"	"Maori"	"Unemployed"	153	1178
133	133	"<S1A-054#1:H>"	"S1A054"	"1"	"H"	"female"	"16-19"	"Cook Island/Pakeha"	"Uni Student"	18	101
134	134	"<S1A-054#1:M>"	"S1A054"	"1"	"M"	"male"	"20-24"	"Maori"	"P/T Cleaner"	49	282
135	135	"<S1A-054#1:P>"	"S1A054"	"1"	"P"	"female"	"25-29"	"Pakeha"	"Casual Research Assistant"	47	293
136	136	"<S1A-054#1:Z>"	"S1A054"	"1"	"Z"	"male"	NA	NA	NA	5	29
137	137	"<S1A-055#1:A>"	"S1A055"	"1"	"A"	"female"	"20-24"	"Pakeha"	"Tutor/Shop Assistant"	123	854
138	138	"<S1A-055#1:F>"	"S1A055"	"1"	"F"	"female"	"20-24"	"Pakeha"	"Student/P/T Waitress"	126	1047
139	139	"<S1A-056#1:C>"	"S1A056"	"1"	"C"	"male"	"16-19"	"Pakeha"	"Apprentice Baker"	134	583
140	140	"<S1A-056#1:D>"	"S1A056"	"1"	"D"	"male"	"20-24"	"Pakeha"	"Supermarket Cadet Manager"	172	1284
141	141	"<S1A-057#1:F>"	"S1A057"	"1"	"F"	"female"	"25-29"	"Pakeha/Maori"	"Student"	122	1015
142	142	"<S1A-057#1:M>"	"S1A057"	"1"	"M"	"male"	"35-39"	"Pakeha"	"Student"	110	892
143	143	"<S1A-057#1:S>"	"S1A057"	"1"	"S"	"female"	"30-34"	"Pakeha"	NA	1	0
144	144	"<S1A-058#1:F>"	"S1A058"	"1"	"F"	"female"	"20-24"	"Samoan"	"Student"	128	709
145	145	"<S1A-058#1:T>"	"S1A058"	"1"	"T"	"female"	"20-24"	"Samoan"	"Student/Checkout Operator"	125	1162
146	146	"<S1A-059#1:B>"	"S1A059"	"1"	"B"	"female"	"20-24"	"Pakeha"	"Student Teachers' College"	124	739
147	147	"<S1A-059#1:F>"	"S1A059"	"1"	"F"	"female"	"25-29"	"Pakeha"	NA	127	1246
148	148	"<S1A-060#1:K>"	"S1A060"	"1"	"K"	"male"	"40-44"	"Maori"	"Delivery Contractor"	147	713
149	149	"<S1A-060#1:T>"	"S1A060"	"1"	"T"	"male"	"35-39"	"Maori"	"Building Supervisor"	170	971
150	150	"<S1A-060#1:W>"	"S1A060"	"1"	"W"	"female"	"35-39"	"Pakeha"	"Lecturer"	48	279
151	151	"<S1A-061#1:F>"	"S1A061"	"1"	"F"	"female"	"40-44"	"Pakeha"	"Director Education Centre"	111	832
152	152	"<S1A-061#1:G>"	"S1A061"	"1"	"G"	"female"	"35-39"	"Pakeha"	"Self Employed"	131	1200
153	153	"<S1A-062#1:C>"	"S1A062"	"1"	"C"	"female"	"40-44"	"Pakeha"	"Librarian"	142	545
154	154	"<S1A-062#1:M>"	"S1A062"	"1"	"M"	"female"	"35-39"	"Pakeha"	"Lecturer"	177	1888
155	155	"<S1A-063#1:K>"	"S1A063"	"1"	"K"	"male"	"40-44"	"Maori"	"Delivery Contractor"	168	1132
156	156	"<S1A-063#1:T>"	"S1A063"	"1"	"T"	"male"	"35-39"	"Maori"	"Building Supervisor"	137	721
157	157	"<S1A-063#1:W>"	"S1A063"	"1"	"W"	"female"	"35-39"	"Pakeha"	"Lecturer"	39	188
158	158	"<S1A-064#1:D>"	"S1A064"	"1"	"D"	"female"	"16-19"	"Pakeha"	"Doing Catering Course"	154	1307
159	159	"<S1A-064#1:F>"	"S1A064"	"1"	"F"	"female"	"20-24"	"Pakeha"	"Shop Assistant"	122	636
160	160	"<S1A-065#1:O>"	"S1A065"	"1"	"O"	"male"	"40-44"	"Pakeha"	"Firefighter"	81	1024
161	161	"<S1A-065#1:W>"	"S1A065"	"1"	"W"	"male"	"30-34"	"Pakeha"	"Firefighter"	92	809
162	162	"<S1A-066#1:F>"	"S1A066"	"1"	"F"	"female"	"25-29"	"Maori"	"Postal Clerk"	177	817
163	163	"<S1A-066#1:M>"	"S1A066"	"1"	"M"	"male"	"30-34"	"Cook Island Maori"	"Customer Services Manager"	164	1088
164	164	"<S1A-066#1:S>"	"S1A066"	"1"	"S"	NA	NA	NA	NA	1	0
165	165	"<S1A-067#1:A>"	"S1A067"	"1"	"A"	"female"	"30-34"	"Pakeha"	"Student"	163	794
166	166	"<S1A-067#1:S>"	"S1A067"	"1"	"S"	"female"	"40-44"	"Maori"	"Processing Officer"	165	1128
167	167	"<S1A-068#1:G>"	"S1A068"	"1"	"G"	"female"	"25-29"	"Pakeha"	"Casual Research Assistant"	74	342
168	168	"<S1A-068#1:I>"	"S1A068"	"1"	"I"	"male"	"35-39"	"Pakeha"	"Quantity Surv & Carpentry"	136	1821
169	169	"<S1A-069#1:H>"	"S1A069"	"1"	"H"	"female"	"20-24"	"Pakeha"	"Clerical AssistantNote-taker"	52	532
170	170	"<S1A-069#1:J>"	"S1A069"	"1"	"J"	"female"	"40-44"	"Pakeha"	"Lecturer"	74	320
171	171	"<S1A-069#1:R>"	"S1A069"	"1"	"R"	"male"	"45-49"	"Pakeha"	"Cultural Consultant"	56	266
172	172	"<S1A-069#1:S>"	"S1A069"	"1"	"S"	"female"	"20-24"	"Pakeha"	"Library Assistant"	72	316
173	173	"<S1A-069#1:W>"	"S1A069"	"1"	"W"	"male"	"20-24"	"Pakeha"	"Actor"	108	774
174	174	"<S1A-069#1:X>"	"S1A069"	"1"	"X"	"male"	NA	NA	NA	4	8
175	175	"<S1A-070#1:A>"	"S1A070"	"1"	"A"	"female"	"20-24"	"Pakeha"	"P/T Clerical"	100	993
176	176	"<S1A-070#1:B>"	"S1A070"	"1"	"B"	"male"	"20-24"	"Pakeha"	"Knowledge Engineer"	113	1006
177	177	"<S1A-071#1:D>"	"S1A071"	"1"	"D"	"female"	"25-29"	"Pakeha"	NA	183	1112
178	178	"<S1A-071#1:K>"	"S1A071"	"1"	"K"	"female"	"30-34"	"Pakeha"	"Caregiver"	210	1384
179	179	"<S1A-072#1:?>"	"S1A072"	"1"	"?"	NA	NA	NA	NA	1	0
180	180	"<S1A-072#1:B>"	"S1A072"	"1"	"B"	"male"	"20-24"	"Pakeha"	"Technical Writer/Analyst Programmer"	71	286
181	181	"<S1A-072#1:C>"	"S1A072"	"1"	"C"	"female"	"20-24"	"Pakeha"	"Research Assistant"	117	624
182	182	"<S1A-072#1:J>"	"S1A072"	"1"	"J"	"female"	"20-24"	"Pakeha"	"Accountant"	143	819
183	183	"<S1A-072#1:P>"	"S1A072"	"1"	"P"	"male"	"20-24"	"Pakeha"	"Sports Shop Assistant"	86	303
184	184	"<S1A-073#1:?>"	"S1A073"	"1"	"?"	NA	NA	NA	NA	2	0
185	185	"<S1A-073#1:D>"	"S1A073"	"1"	"D"	"male"	"20-24"	"Pakeha"	NA	169	1075
186	186	"<S1A-073#1:J>"	"S1A073"	"1"	"J"	"female"	"20-24"	"Pakeha"	"Accountant"	78	327
187	187	"<S1A-073#1:P>"	"S1A073"	"1"	"P"	"male"	"20-24"	"Pakeha"	"Sports Shop Assistant"	158	582
188	188	"<S1A-074#1:A>"	"S1A074"	"1"	"A"	"male"	"20-24"	"Pakeha"	NA	66	616
189	189	"<S1A-074#1:F>"	"S1A074"	"1"	"F"	"female"	"20-24"	"Pakeha"	"Research Assistant"	50	263
190	190	"<S1A-074#1:J>"	"S1A074"	"1"	"J"	"female"	"25-29"	"Pakeha"	"Teaching Assistant"	25	217
191	191	"<S1A-074#1:L>"	"S1A074"	"1"	"L"	"male"	"20-24"	"Pakeha"	NA	33	230
192	192	"<S1A-074#1:M>"	"S1A074"	"1"	"M"	"male"	"25-29"	"Pakeha"	"Analyst Programmer"	82	653
193	193	"<S1A-075#1:?>"	"S1A075"	"1"	"?"	NA	NA	NA	NA	1	1
194	194	"<S1A-075#1:E>"	"S1A075"	"1"	"E"	"female"	"45-49"	"Pakeha"	"Arts Manager"	158	1661
195	195	"<S1A-075#1:W>"	"S1A075"	"1"	"W"	"female"	"45-49"	"Pakeha"	"Composer/Music Education Advisor"	136	892
196	196	"<S1A-076#1:D>"	"S1A076"	"1"	"D"	"male"	"40-44"	"Pakeha"	NA	165	859
197	197	"<S1A-076#1:E>"	"S1A076"	"1"	"E"	"male"	"45-49"	"Pakeha"	NA	179	1233
198	198	"<S1A-077#1:A>"	"S1A077"	"1"	"A"	"male"	"20-24"	"Tokelauan"	"Student"	140	967
199	199	"<S1A-077#1:T>"	"S1A077"	"1"	"T"	"female"	"20-24"	"Samoan"	"Student/Checkout Operator"	117	947
200	200	"<S1A-078#1:K>"	"S1A078"	"1"	"K"	"male"	"50-54"	"Pakeha"	"School Principal"	148	1222
201	201	"<S1A-078#1:M>"	"S1A078"	"1"	"M"	"male"	"55-59"	"Pakeha"	"Deputy Principal"	112	838
202	202	"<S1A-079#1:G>"	"S1A079"	"1"	"G"	"male"	"25-29"	"Maori/Pakeha"	"Senior Policy Advisor"	91	387
203	203	"<S1A-079#1:P>"	"S1A079"	"1"	"P"	"male"	"30-34"	"Pakeha"	"Reservations Consultant"	111	330
204	204	"<S1A-079#1:R>"	"S1A079"	"1"	"R"	"female"	"20-24"	"Maori"	"Lecturer"	202	1267
205	205	"<S1A-080#1:F>"	"S1A080"	"1"	"F"	"female"	"45-49"	"Pakeha"	"Teacher"	15	66
206	206	"<S1A-080#1:N>"	"S1A080"	"1"	"N"	"male"	"50-54"	"Maori"	"Teacher"	278	2178
207	207	"<S1A-080#1:R>"	"S1A080"	"1"	"R"	"male"	"45-49"	"Maori"	"Teacher"	175	991
208	208	"<S1A-081#1:A>"	"S1A081"	"1"	"A"	"male"	"50-54"	"Maori"	"Lecturer"	140	1211
209	209	"<S1A-081#1:B>"	"S1A081"	"1"	"B"	"male"	"55-59"	"Maori"	"Lecturer"	135	814
210	210	"<S1A-082#1:J>"	"S1A082"	"1"	"J"	"female"	"45-49"	"Maori"	"Shop Assistant"	166	1414
211	211	"<S1A-082#1:V>"	"S1A082"	"1"	"V"	"female"	"40-44"	"Pakeha"	NA	113	649
212	212	"<S1A-083#1:A>"	"S1A083"	"1"	"A"	"female"	"25-29"	"Maori"	"Student"	160	850
213	213	"<S1A-083#1:B>"	"S1A083"	"1"	"B"	"female"	"30-34"	"Maori"	"P/T Counsellor"	182	2313
214	214	"<S1A-084#1:?>"	"S1A084"	"1"	"?"	NA	NA	NA	NA	1	0
215	215	"<S1A-084#1:A>"	"S1A084"	"1"	"A"	"female"	"50-54"	"Maori"	"Editor"	243	1234
216	216	"<S1A-084#1:J>"	"S1A084"	"1"	"J"	"female"	"55-59"	"Maori"	"Editor"	256	1951
217	217	"<S1A-085#1:K>"	"S1A085"	"1"	"K"	"female"	"30-34"	"Maori"	"Primary Teacher"	116	868
218	218	"<S1A-085#1:R>"	"S1A085"	"1"	"R"	"female"	"25-29"	"Maori/Pakeha"	"Primary Teacher"	138	1057
219	219	"<S1A-086#1:?>"	"S1A086"	"1"	"?"	NA	NA	NA	NA	2	21
220	220	"<S1A-086#1:A>"	"S1A086"	"1"	"A"	"female"	"55-59"	"Maori"	"Primary Teacher"	165	1676
221	221	"<S1A-086#1:B>"	"S1A086"	"1"	"B"	"female"	"45-49"	"Maori"	"Principal Primary School"	154	1600
222	222	"<S1A-086#1:X>"	"S1A086"	"1"	"X"	"female"	NA	NA	NA	16	27
223	223	"<S1A-087#1:A>"	"S1A087"	"1"	"A"	"male"	"25-29"	"Maori"	NA	230	1067
224	224	"<S1A-087#1:B>"	"S1A087"	"1"	"B"	"male"	"25-29"	"Maori"	"Policy Analyst"	243	1654
