"id"	"orig.id"	"file.speaker.id"	"text.id"	"subfile"	"spk.id"	"spk.ref"	"zone"	"title"	"date"	"sex"	"age"	"prov"	"reside"	"ed.lev"	"occupation"	"relig"	"1st.lg"	"other.lgs"	"speech.unit.count"	"word.count"
11	"10"	"<S1A-002$H>"	"S1A-002"	"1"	"8"	"H"	"mixed between ni and roi"	"dinner chat 1"	"2002-2005"	"male"	"19-25"	"belfast"	"england"	"postgraduate qualification"	"teacher"	"catholic"	"english"	NA	16	98
12	"11"	"<S1A-002$I>"	"S1A-002"	"1"	"9"	"I"	"mixed between ni and roi"	"dinner chat 1"	"2002-2005"	"female"	"34-41"	"down"	"england"	"doctoral degree"	"lecturer"	"catholic"	"english"	NA	5	28
13	NA	"<S1A-003$?>"	"S1A-003"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
14	"12"	"<S1A-003$A>"	"S1A-003"	"1"	"7"	"A"	"mixed between ni and roi"	"dinner chat 2"	"2002-2005"	"male"	"34-41"	"belfast"	"england"	"doctoral degree"	"surgeon"	"catholic"	"english"	NA	63	532
15	"13"	"<S1A-003$B>"	"S1A-003"	"1"	"3"	"B"	"northern ireland"	"dinner chat 2"	"2002-2005"	"female"	"26-33"	"belfast"	"belfast"	"postgraduate qualification"	"solicitor"	"catholic"	"english"	"french & italian"	58	447
16	"14"	"<S1A-003$C>"	"S1A-003"	"1"	"4"	"C"	"northern ireland"	"dinner chat 2"	"2002-2005"	"female"	"19-25"	"belfast"	"belfast"	"first degree"	"pg student"	"catholic"	"english"	"french"	38	480
17	"15"	"<S1A-003$D>"	"S1A-003"	"1"	"6"	"D"	"northern ireland"	"dinner chat 2"	"2002-2005"	"female"	"50+"	"belfast"	"belfast"	"postgraduate qualification"	"vp of primary school"	"catholic"	"english"	"irish gaelic"	55	276
18	"16"	"<S1A-003$E>"	"S1A-003"	"1"	"11"	"E"	"northern ireland"	"dinner chat 2"	"2002-2005"	"female"	"26-33"	"belfast"	"belfast"	"doctoral degree"	"research assistant"	"catholic"	"english"	"french & italian"	54	403
19	"17"	"<S1A-003$F>"	"S1A-003"	"1"	"8"	"F"	"mixed between ni and roi"	"dinner chat 2"	"2002-2005"	"male"	"19-25"	"belfast"	"england"	"postgraduate qualification"	"teacher"	"catholic"	"english"	NA	23	183
20	NA	"<S1A-003$H>"	"S1A-003"	"1"	NA	"H"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3
21	"18"	"<S1A-004$A>"	"S1A-004"	"1"	"12"	"A"	"northern ireland"	"nursing home 1"	"2002-2005"	"female"	"50+"	"belfast"	"belfast"	"secondary school qualification"	"retired civil servant"	"catholic"	"english & irish gaelic"	NA	157	1280
22	"19"	"<S1A-004$B>"	"S1A-004"	"1"	"13"	"B"	"northern ireland"	"nursing home 1"	"2002-2005"	"female"	"50+"	NA	"belfast"	"secondary school qualification"	"retired civil servant"	"catholic"	"english"	NA	64	525
23	"20"	"<S1A-004$C>"	"S1A-004"	"1"	"14"	"C"	"northern ireland"	"nursing home 1"	"2002-2005"	"female"	"50+"	"belfast"	"belfast"	"secondary school qualification"	"retired civil servant"	"catholic"	"english"	NA	30	355
24	"21"	"<S1A-005$A>"	"S1A-005"	"1"	"15"	"A"	"northern ireland"	"masons"	"2002-2005"	"male"	"34-41"	"down"	"down"	"secondary school qualification"	"bus driver"	"protestant"	"english"	"french"	79	689
25	"22"	"<S1A-005$B>"	"S1A-005"	"1"	"16"	"B"	"northern ireland"	"masons"	"2002-2005"	"male"	"26-33"	"down"	"belfast"	"first degree"	"graphic designer"	"protestant"	"english"	"french"	114	1075
26	"23"	"<S1A-005$C>"	"S1A-005"	"1"	"17"	"C"	"northern ireland"	"masons"	"2002-2005"	"female"	"26-33"	"down"	"belfast"	"postgraduate qualification"	"research assistant"	"catholic"	"english"	"thai & french & spanish"	38	277
27	NA	"<S1A-006$?>"	"S1A-006"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	6
28	"24"	"<S1A-006$A>"	"S1A-006"	"1"	"3"	"A"	"northern ireland"	"girls' chat 1"	"2002-2005"	"female"	"26-33"	"belfast"	"belfast"	"postgraduate qualification"	"solicitor"	"catholic"	"english"	"french & italian"	84	1051
29	"25"	"<S1A-006$B>"	"S1A-006"	"1"	"18"	"B"	"mixed between ni and roi"	"girls' chat 1"	"2002-2005"	"female"	"34-41"	"belfast"	"dublin (city)"	"postgraduate qualification"	"medical journal editor"	"catholic"	"english"	NA	83	769
30	"26"	"<S1A-006$C>"	"S1A-006"	"1"	"19"	"C"	"northern ireland"	"girls' chat 1"	"2002-2005"	"female"	"34-41"	"belfast"	"belfast"	"postgraduate qualification"	"marketing manager"	"catholic"	"english"	NA	47	279
31	"27"	"<S1A-006$D>"	"S1A-006"	"1"	"11"	"D"	"northern ireland"	"girls' chat 1"	"2002-2005"	"female"	"26-33"	"belfast"	"belfast"	"doctoral degree"	"research assistant"	"catholic"	"english"	"french & italian"	34	194
32	"28"	"<S1A-006$E>"	"S1A-006"	"1"	"20"	"E"	"northern ireland"	"girls' chat 1"	"2002-2005"	"female"	"26-33"	"belfast"	"belfast"	"postgraduate qualification"	"general practitioner"	"catholic"	"english"	NA	10	135
33	"29"	"<S1A-007$A>"	"S1A-007"	"1"	"18"	"A"	"mixed between ni and roi"	"girls' chat 2"	"2002-2005"	"female"	"34-41"	"belfast"	"dublin (city)"	"postgraduate qualification"	"medical journal editor"	"catholic"	"english"	NA	81	658
34	"30"	"<S1A-007$B>"	"S1A-007"	"1"	"21"	"B"	"northern ireland"	"girls' chat 2"	"2002-2005"	"female"	"34-41"	"belfast"	"belfast"	"first degree"	"general practitioner"	"catholic"	"english"	NA	85	941
35	"31"	"<S1A-007$C>"	"S1A-007"	"1"	"19"	"C"	"northern ireland"	"girls' chat 2"	"2002-2005"	"female"	"34-41"	"belfast"	"belfast"	"postgraduate qualification"	"marketing manager"	"catholic"	"english"	NA	27	142
36	"32"	"<S1A-007$D>"	"S1A-007"	"1"	"11"	"D"	"northern ireland"	"girls' chat 2"	"2002-2005"	"female"	"26-33"	"belfast"	"belfast"	"doctoral degree"	"research assistant"	"catholic"	"english"	"french & italian"	25	195
37	"33"	"<S1A-007$E>"	"S1A-007"	"1"	"3"	"E"	"northern ireland"	"girls' chat 2"	"2002-2005"	"female"	"26-33"	"belfast"	"belfast"	"postgraduate qualification"	"solicitor"	"catholic"	"english"	"french & italian"	27	235
38	"34"	"<S1A-007$F>"	"S1A-007"	"1"	"20"	"F"	"northern ireland"	"girls' chat 2"	"2002-2005"	"female"	"26-33"	"belfast"	"belfast"	"postgraduate qualification"	"general practitioner"	"catholic"	"english"	NA	22	168
39	NA	"<S1A-008$?>"	"S1A-008"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5
40	"35"	"<S1A-008$A>"	"S1A-008"	"1"	"13"	"A"	"northern ireland"	"nursing home 2"	"2002-2005"	"female"	"50+"	NA	"belfast"	"secondary school qualification"	"retired civil servant"	"catholic"	"english"	NA	49	308
41	"36"	"<S1A-008$B>"	"S1A-008"	"1"	"22"	"B"	"northern ireland"	"nursing home 2"	"2002-2005"	"female"	"50+"	"belfast"	"belfast"	"secondary school qualification"	"retired"	"catholic"	"english"	NA	75	456
42	"37"	"<S1A-008$C>"	"S1A-008"	"1"	"12"	"C"	"northern ireland"	"nursing home 2"	"2002-2005"	"female"	"50+"	"belfast"	"belfast"	"secondary school qualification"	"retired civil servant"	"catholic"	"english & irish gaelic"	NA	115	753
43	"38"	"<S1A-008$D>"	"S1A-008"	"1"	"14"	"D"	"northern ireland"	"nursing home 2"	"2002-2005"	"female"	"50+"	"belfast"	"belfast"	"secondary school qualification"	"retired civil servant"	"catholic"	"english"	NA	48	410
44	"39"	"<S1A-009$A>"	"S1A-009"	"1"	"14"	"A"	"northern ireland"	"lovely bread"	"2002-2005"	"female"	"50+"	"belfast"	"belfast"	"secondary school qualification"	"retired civil servant"	"catholic"	"english"	NA	117	964
45	"40"	"<S1A-009$B>"	"S1A-009"	"1"	"6"	"B"	"northern ireland"	"lovely bread"	"2002-2005"	"female"	"50+"	"belfast"	"belfast"	"postgraduate qualification"	"vp of primary school"	"catholic"	"english"	"irish gaelic"	105	620
46	"41"	"<S1A-009$C>"	"S1A-009"	"1"	"11"	"C"	"northern ireland"	"lovely bread"	"2002-2005"	"female"	"26-33"	"belfast"	"belfast"	"doctoral degree"	"research assistant"	"catholic"	"english"	"french & italian"	7	31
47	NA	"<S1A-010$?>"	"S1A-010"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	9
48	"42"	"<S1A-010$A>"	"S1A-010"	"1"	"23"	"A"	"mixed between ni and roi"	"lunch"	"2002-2005"	"female"	"26-33"	"belfast"	"england"	"secondary school qualification"	"retail manageress"	"protestant"	"english"	"french"	41	384
49	"43"	"<S1A-010$B>"	"S1A-010"	"1"	"24"	"B"	"northern ireland"	"lunch"	"2002-2005"	"female"	"26-33"	"(london)derry"	"(london)derry"	"postgraduate qualification"	"teacher"	"catholic"	"english"	NA	77	510
50	"44"	"<S1A-010$C>"	"S1A-010"	"1"	"25"	"C"	"mixed between ni and roi"	"lunch"	"2002-2005"	"female"	"26-33"	NA	"belfast"	"first degree"	"care assistant"	"catholic"	"english"	NA	70	530
51	"45"	"<S1A-010$D>"	"S1A-010"	"1"	"26"	"D"	"northern ireland"	"lunch"	"2002-2005"	"female"	"26-33"	"down"	"belfast"	"postgraduate qualification"	"teacher"	"catholic"	"english"	"french"	27	149
52	"46"	"<S1A-010$E>"	"S1A-010"	"1"	"17"	"E"	"northern ireland"	"lunch"	"2002-2005"	"female"	"26-33"	"down"	"down"	"postgraduate qualification"	"researcher"	"catholic"	"english"	"thai & french & spanish"	7	35
53	"47"	"<S1A-010$F>"	"S1A-010"	"1"	"28"	"F"	"northern ireland"	"lunch"	"2002-2005"	"female"	NA	NA	NA	NA	"waitress"	NA	NA	NA	2	2
54	NA	"<S1A-011$?>"	"S1A-011"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	10
55	"48"	"<S1A-011$A>"	"S1A-011"	"1"	"29"	"A"	"northern ireland"	"hen party"	"2002-2005"	"female"	"26-33"	"antrim"	"antrim"	"postgraduate qualification"	"it analyst"	"protestant"	"english"	NA	66	497
56	"49"	"<S1A-011$B>"	"S1A-011"	"1"	"30"	"B"	"republic of ireland"	"hen party"	"2002-2005"	"female"	NA	"dublin (city)"	"dublin (city)"	NA	"na"	"catholic"	NA	NA	123	1358
57	"50"	"<S1A-011$C>"	"S1A-011"	"1"	"31"	"C"	"northern ireland"	"hen party"	"2002-2005"	"female"	"26-33"	"tyrone"	"belfast"	"first degree"	"bbc production assistant"	"catholic"	"english"	NA	10	56
58	"51"	"<S1A-011$D>"	"S1A-011"	"1"	"32"	"D"	"mixed between ni and roi"	"hen party"	"2002-2005"	"female"	"26-33"	"belfast"	NA	"postgraduate qualification"	"teacher"	"protestant"	"english"	NA	2	4
59	"52"	"<S1A-012$A>"	"S1A-012"	"1"	"33"	"A"	"northern ireland"	"student chat 1"	"1990-1994"	"female"	NA	NA	NA	NA	"na"	NA	NA	NA	128	1743
60	"53"	"<S1A-012$B>"	"S1A-012"	"1"	"34"	"B"	"northern ireland"	"student chat 1"	"1990-1994"	"female"	NA	NA	NA	NA	"na"	NA	NA	NA	66	310
61	"54"	"<S1A-013$A>"	"S1A-013"	"1"	"33"	"A"	"northern ireland"	"student chat 2"	"1990-1994"	"female"	NA	NA	NA	NA	"na"	NA	NA	NA	107	1111
62	"55"	"<S1A-013$B>"	"S1A-013"	"1"	"34"	"B"	"northern ireland"	"student chat 2"	"1990-1994"	"female"	NA	NA	NA	NA	"na"	NA	NA	NA	73	537
63	"56"	"<S1A-013$C>"	"S1A-013"	"1"	"35"	"C"	"northern ireland"	"student chat 2"	"1990-1994"	"male"	NA	NA	NA	NA	"na"	NA	NA	NA	26	235
64	"57"	"<S1A-014$A>"	"S1A-014"	"1"	"36"	"A"	"northern ireland"	"monday night"	"1990-1994"	"female"	"19-25"	"down"	NA	"postgraduate qualification"	"teacher"	"protestant"	"english"	"french & spanish"	36	155
65	"58"	"<S1A-014$B>"	"S1A-014"	"1"	"37"	"B"	"northern ireland"	"monday night"	"1990-1994"	"female"	"19-25"	"down"	"armagh"	"first degree"	"administrator"	NA	"english"	NA	113	824
66	"59"	"<S1A-014$C>"	"S1A-014"	"1"	"38"	"C"	"northern ireland"	"monday night"	"1990-1994"	"male"	"19-25"	NA	NA	"secondary school qualification"	"na"	NA	NA	NA	95	602
67	"60"	"<S1A-014$D>"	"S1A-014"	"1"	"39"	"D"	"northern ireland"	"monday night"	"1990-1994"	"male"	"19-25"	NA	NA	"secondary school qualification"	"na"	NA	NA	NA	75	584
68	"61"	"<S1A-015$A>"	"S1A-015"	"1"	"40"	"A"	"northern ireland"	"summer plans"	"1990-1994"	"male"	"19-25"	NA	NA	"first degree"	"na"	NA	NA	NA	93	803
69	"62"	"<S1A-015$B>"	"S1A-015"	"1"	"41"	"B"	"northern ireland"	"summer plans"	"1990-1994"	"female"	"19-25"	NA	NA	"first degree"	"na"	NA	NA	NA	76	460
70	"63"	"<S1A-015$C>"	"S1A-015"	"1"	"42"	"C"	"northern ireland"	"summer plans"	"1990-1994"	"female"	"19-25"	NA	NA	"first degree"	"na"	NA	NA	NA	36	196
71	"64"	"<S1A-015$D>"	"S1A-015"	"1"	"43"	"D"	"northern ireland"	"summer plans"	"1990-1994"	"male"	"19-25"	NA	NA	"first degree"	"na"	NA	NA	NA	91	761
72	"65"	"<S1A-016$A>"	"S1A-016"	"1"	"44"	"A"	"mixed between ni and roi"	"catching up"	"1990-1994"	"female"	"19-25"	"belfast"	"england"	"some tertiary education"	"student"	NA	NA	NA	166	1018
73	"66"	"<S1A-016$B>"	"S1A-016"	"1"	"45"	"B"	"northern ireland"	"catching up"	"1990-1994"	"male"	"19-25"	NA	"belfast"	"some tertiary education"	"student"	NA	NA	NA	92	470
74	"67"	"<S1A-016$C>"	"S1A-016"	"1"	"46"	"C"	"northern ireland"	"catching up"	"1990-1994"	"male"	NA	"belfast"	"belfast"	NA	"employed"	NA	NA	NA	84	570
75	NA	"<S1A-017$?>"	"S1A-017"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	9
76	"68"	"<S1A-017$A>"	"S1A-017"	"1"	"47"	"A"	"northern ireland"	"corps ball"	"1990-1994"	"female"	"19-25"	NA	NA	"some tertiary education"	"student"	NA	NA	NA	127	1042
77	"69"	"<S1A-017$B>"	"S1A-017"	"1"	"48"	"B"	"northern ireland"	"corps ball"	"1990-1994"	"female"	"19-25"	NA	NA	"some tertiary education"	"student"	NA	NA	NA	54	224
78	"70"	"<S1A-017$C>"	"S1A-017"	"1"	"49"	"C"	"northern ireland"	"corps ball"	"1990-1994"	"male"	"19-25"	NA	NA	"some tertiary education"	"student"	NA	NA	NA	42	325
79	"71"	"<S1A-017$D>"	"S1A-017"	"1"	"50"	"D"	"northern ireland"	"corps ball"	"1990-1994"	"male"	"19-25"	NA	NA	"some tertiary education"	"student"	NA	NA	NA	48	312
80	NA	"<S1A-018$?>"	"S1A-018"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
81	"72"	"<S1A-018$A>"	"S1A-018"	"1"	"51"	"A"	"northern ireland"	"drama"	"1990-1994"	"male"	"19-25"	NA	"belfast"	"some tertiary education"	"student"	NA	NA	NA	135	925
82	"73"	"<S1A-018$B>"	"S1A-018"	"1"	"52"	"B"	"northern ireland"	"drama"	"1990-1994"	"male"	"19-25"	NA	"belfast"	"some tertiary education"	"student"	NA	NA	NA	102	816
83	"74"	"<S1A-018$C>"	"S1A-018"	"1"	"53"	"C"	"non-corpus speaker"	"drama"	"1990-1994"	"female"	"19-25"	"england"	"belfast"	"some tertiary education"	"student"	NA	NA	NA	39	5
84	"75"	"<S1A-018$D>"	"S1A-018"	"1"	"54"	"D"	"northern ireland"	"drama"	"1990-1994"	"female"	"19-25"	"belfast"	"belfast"	"some tertiary education"	"student"	"catholic"	NA	NA	60	268
85	"76"	"<S1A-019$A>"	"S1A-019"	"1"	"55"	"A"	"northern ireland"	"clothes"	"2002-2005"	"female"	"26-33"	"(london)derry"	"belfast"	"postgraduate qualification"	"solicitor"	"catholic"	"english"	NA	82	749
86	"77"	"<S1A-019$B>"	"S1A-019"	"1"	"56"	"B"	"northern ireland"	"clothes"	"2002-2005"	"female"	"26-33"	"belfast"	"belfast"	"postgraduate qualification"	"solicitor"	"protestant"	"english"	NA	79	474
87	"78"	"<S1A-019$C>"	"S1A-019"	"1"	"58"	"C"	"northern ireland"	"clothes"	"2002-2005"	"female"	"34-41"	"belfast"	"belfast"	"secondary school qualification"	"practice manager"	"catholic"	"english"	NA	65	445
88	"79"	"<S1A-019$D>"	"S1A-019"	"1"	"3"	"D"	"northern ireland"	"clothes"	"2002-2005"	"female"	"26-33"	"belfast"	"belfast"	"postgraduate qualification"	"solicitor"	"catholic"	"english"	"french & italian"	49	310
89	NA	"<S1A-020$?>"	"S1A-020"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	8
90	"80"	"<S1A-020$A>"	"S1A-020"	"1"	"3"	"A"	"northern ireland"	"taxi driver"	"2002-2005"	"female"	"26-33"	"belfast"	"belfast"	"postgraduate qualification"	"solicitor"	"catholic"	"english"	"french & italian"	79	604
91	"81"	"<S1A-020$B>"	"S1A-020"	"1"	"56"	"B"	"northern ireland"	"taxi driver"	"2002-2005"	"female"	"26-33"	"belfast"	"belfast"	"postgraduate qualification"	"solicitor"	"protestant"	"english"	NA	38	292
92	"82"	"<S1A-020$C>"	"S1A-020"	"1"	"58"	"C"	"northern ireland"	"taxi driver"	"2002-2005"	"female"	"34-41"	"belfast"	"belfast"	"secondary school qualification"	"practice manager"	"catholic"	"english"	NA	24	330
93	"83"	"<S1A-020$D>"	"S1A-020"	"1"	"55"	"D"	"northern ireland"	"taxi driver"	"2002-2005"	"female"	"26-33"	"(london)derry"	"belfast"	"postgraduate qualification"	"solicitor"	"catholic"	"english"	NA	86	943
94	NA	"<S1A-021$?>"	"S1A-021"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1
95	"84"	"<S1A-021$A>"	"S1A-021"	"1"	"3"	"A"	"northern ireland"	"provincetown"	"2002-2005"	"female"	"26-33"	"belfast"	"belfast"	"postgraduate qualification"	"solicitor"	"catholic"	"english"	"french & italian"	56	430
96	"85"	"<S1A-021$B>"	"S1A-021"	"1"	"63"	"B"	"northern ireland"	"provincetown"	"2002-2005"	"male"	"26-33"	"antrim"	"belfast"	"postgraduate qualification"	"solicitor"	"catholic"	"english"	"french"	13	57
97	"86"	"<S1A-021$C>"	"S1A-021"	"1"	"55"	"C"	"northern ireland"	"provincetown"	"2002-2005"	"female"	"26-33"	"(london)derry"	"belfast"	"postgraduate qualification"	"solicitor"	"catholic"	"english"	NA	3	16
98	"87"	"<S1A-021$D>"	"S1A-021"	"1"	"57"	"D"	"northern ireland"	"provincetown"	"2002-2005"	"male"	"50+"	"belfast"	"belfast"	"first degree"	"solicitor"	"catholic"	"english"	NA	69	449
99	"88"	"<S1A-021$E>"	"S1A-021"	"1"	"27"	"E"	"non-corpus speaker"	"provincetown"	"2002-2005"	"male"	"42-49"	NA	"belfast"	"first degree"	"solicitor"	"catholic"	"english"	NA	6	0
100	"89"	"<S1A-021$F>"	"S1A-021"	"1"	"60"	"F"	"northern ireland"	"provincetown"	"2002-2005"	"female"	"26-33"	"down"	"belfast"	"postgraduate qualification"	"solicitor"	"catholic"	"english"	NA	50	403
101	"90"	"<S1A-021$G>"	"S1A-021"	"1"	"59"	"G"	"northern ireland"	"provincetown"	"2002-2005"	"female"	"19-25"	"antrim"	"antrim"	"postgraduate qualification"	"solicitor"	"protestant"	"english"	NA	3	34
102	"91"	"<S1A-021$H>"	"S1A-021"	"1"	"61"	"H"	"northern ireland"	"provincetown"	"2002-2005"	"female"	"26-33"	"antrim"	"belfast"	"postgraduate qualification"	"solicitor"	"protestant"	"english"	"french"	21	212
103	"92"	"<S1A-021$I>"	"S1A-021"	"1"	"62"	"I"	"mixed between ni and roi"	"provincetown"	"2002-2005"	"female"	"19-25"	"donegal"	"belfast"	"first degree"	"trainee solicitor"	"catholic"	"english"	"french & irish gaelic"	2	10
104	NA	"<S1A-022$?>"	"S1A-022"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	12
105	"93"	"<S1A-022$A>"	"S1A-022"	"1"	"64"	"A"	"northern ireland"	"pizza"	"1990-1994"	"female"	"19-25"	"down"	"down"	"some tertiary education"	"student"	"catholic"	"english"	"french & spanish"	78	447
106	"94"	"<S1A-022$B>"	"S1A-022"	"1"	"65"	"B"	"mixed between ni and roi"	"pizza"	"1990-1994"	"female"	"19-25"	"down"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & spanish"	94	540
107	"95"	"<S1A-022$C>"	"S1A-022"	"1"	"66"	"C"	"northern ireland"	"pizza"	"1990-1994"	"female"	"42-49"	"down"	"down"	"secondary school qualification"	"housewife"	"catholic"	"english"	NA	55	324
108	"96"	"<S1A-022$D>"	"S1A-022"	"1"	"67"	"D"	"northern ireland"	"pizza"	"1990-1994"	"male"	"50+"	"down"	"down"	"secondary school qualification"	"farmer"	"catholic"	"english"	NA	63	328
109	"97"	"<S1A-022$E>"	"S1A-022"	"1"	"104"	"E"	"non-corpus speaker"	"pizza"	"1990-1994"	"male"	"0-18"	"down"	"down"	"primary education"	"student"	"catholic"	"english"	NA	39	9
110	NA	"<S1A-023$?>"	"S1A-023"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	13
111	"98"	"<S1A-023$A>"	"S1A-023"	"1"	"64"	"A"	"northern ireland"	"christmas"	"1990-1994"	"female"	"19-25"	"down"	"down"	"some tertiary education"	"student"	"catholic"	"english"	"french & spanish"	76	356
112	"99"	"<S1A-023$B>"	"S1A-023"	"1"	"65"	"B"	"mixed between ni and roi"	"christmas"	"1990-1994"	"female"	"19-25"	"down"	"dublin (city)"	"some tertiary education"	"student"	"catholic"	"english"	"french & spanish"	77	448
113	"100"	"<S1A-023$C>"	"S1A-023"	"1"	"66"	"C"	"northern ireland"	"christmas"	"1990-1994"	"female"	"42-49"	"down"	"down"	"secondary school qualification"	"housewife"	"catholic"	"english"	NA	44	236
114	"101"	"<S1A-023$D>"	"S1A-023"	"1"	"67"	"D"	"northern ireland"	"christmas"	"1990-1994"	"male"	"50+"	"down"	"down"	"secondary school qualification"	"farmer"	"catholic"	"english"	NA	75	369
115	"102"	"<S1A-023$E>"	"S1A-023"	"1"	"104"	"E"	"non-corpus speaker"	"christmas"	"1990-1994"	"male"	"0-18"	"down"	"down"	"primary education"	"student"	"catholic"	"english"	NA	28	0
116	"103"	"<S1A-023$F>"	"S1A-023"	"1"	"135"	"F"	"non-corpus speaker"	"christmas"	"1990-1994"	"female"	"0-18"	"down"	"down"	"primary education"	"student"	"catholic"	"english"	NA	41	0
117	NA	"<S1A-024$?>"	"S1A-024"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
118	"104"	"<S1A-024$A>"	"S1A-024"	"1"	"68"	"A"	"northern ireland"	"pub life"	"1990-1994"	"female"	NA	NA	NA	NA	"na"	NA	NA	NA	124	662
119	"105"	"<S1A-024$B>"	"S1A-024"	"1"	"69"	"B"	"northern ireland"	"pub life"	"1990-1994"	"female"	NA	NA	NA	NA	"na"	NA	NA	NA	25	127
120	"106"	"<S1A-024$C>"	"S1A-024"	"1"	"70"	"C"	"northern ireland"	"pub life"	"1990-1994"	"male"	NA	NA	NA	NA	"na"	NA	NA	NA	106	674
121	"107"	"<S1A-024$D>"	"S1A-024"	"1"	"71"	"D"	"northern ireland"	"pub life"	"1990-1994"	"male"	NA	NA	NA	NA	"na"	NA	NA	NA	70	443
122	"108"	"<S1A-025$A>"	"S1A-025"	"1"	"72"	"A"	"northern ireland"	"housework"	"1990-1994"	"female"	NA	NA	NA	NA	"na"	NA	NA	NA	145	777
123	"109"	"<S1A-025$B>"	"S1A-025"	"1"	"73"	"B"	"northern ireland"	"housework"	"1990-1994"	"female"	NA	NA	NA	NA	"na"	NA	NA	NA	107	596
124	"110"	"<S1A-025$C>"	"S1A-025"	"1"	"74"	"C"	"northern ireland"	"housework"	"1990-1994"	"male"	NA	NA	NA	NA	"na"	NA	NA	NA	55	275
125	"111"	"<S1A-025$D>"	"S1A-025"	"1"	"75"	"D"	"northern ireland"	"housework"	"1990-1994"	"male"	NA	NA	NA	NA	"na"	NA	NA	NA	38	195
