"id"	"file.speaker.id"	"text.id"	"subfile.id"	"spk.ref"	"age"	"sex"	"education"	"education-level"	"id.orig"	"text.cat"	"no.interlocs"	"communicative.role"	"surname"	"first.name"	"nationality"	"first.language"	"occupation"	"organising.body"	"date"	"time"	"place"	"address"	"audience"	"channel"	"main.title"	"source.title"	"speech.unit.count"	"word.count"
"11"	"<ICE-JAM:$C>"	"S1A-003"	"1"	"C"	"26-45"	"male"	NA	"secondary education"	"482"	"spoken-dialogue-private-direct conversations"	"3"	NA	NA	NA	"jamaican"	NA	"barkeeper"	NA	"1995-1999"	"8 pm"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	"language in jamaica"	NA	"14"	"42"
"12"	"<ICE-JAM:$?>"	"S1A-004"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"10"	"37"
"13"	"<ICE-JAM:$A>"	"S1A-004"	"1"	"A"	"46+"	"male"	"phd"	"university education"	"483"	"spoken-dialogue-private-direct conversations"	"6"	NA	"reid"	"harvey"	"jamaican"	"english"	"lecturer"	NA	"1995-1999"	"8 pm"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	"language in jamaica (cont.)"	NA	"102"	"674"
"14"	"<ICE-JAM:$B>"	"S1A-004"	"1"	"B"	"46+"	"male"	NA	"university education"	"484"	"spoken-dialogue-private-direct conversations"	"6"	NA	"miller"	"donald"	"jamaican"	"english"	"manager of the media house"	NA	"1995-1999"	"8 pm"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	"language in jamaica (cont.)"	NA	"146"	"1124"
"15"	"<ICE-JAM:$C>"	"S1A-004"	"1"	"C"	"26-45"	"male"	NA	"secondary education"	"485"	"spoken-dialogue-private-direct conversations"	"6"	NA	NA	NA	"jamaican"	NA	"barkeeper"	NA	"1995-1999"	"8 pm"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	"language in jamaica (cont.)"	NA	"31"	"170"
"16"	"<ICE-JAM:$D>"	"S1A-004"	"1"	"D"	"46+"	"male"	NA	"secondary education"	"486"	"spoken-dialogue-private-direct conversations"	"6"	NA	"maxwell"	"ken"	"jamaican"	NA	NA	NA	"1995-1999"	"8 pm"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	"language in jamaica (cont.)"	NA	"7"	"39"
"17"	"<ICE-JAM:$E>"	"S1A-004"	"1"	"E"	NA	"male"	NA	"secondary education"	"487"	"spoken-dialogue-private-direct conversations"	"6"	NA	NA	NA	"jamaican"	NA	NA	NA	"1995-1999"	"8 pm"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	"language in jamaica (cont.)"	NA	"1"	"1"
"18"	"<ICE-JAM:$F>"	"S1A-004"	"1"	"F"	"18-25"	"female"	NA	"secondary education"	"488"	"spoken-dialogue-private-direct conversations"	"6"	NA	NA	"simone"	"jamaican"	NA	NA	NA	"1995-1999"	"8 pm"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	"language in jamaica (cont.)"	NA	"9"	"32"
"19"	"<ICE-JAM:$A>"	"S1A-005"	"1"	"A"	"46+"	"male"	NA	"secondary education"	"551"	"spoken-dialogue-private-direct conversations"	"3"	NA	"dufour"	"harry anthony"	"jamaican"	"english"	"accountant"	NA	"1995-1999"	"7 pm"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"112"	"987"
"20"	"<ICE-JAM:$B>"	"S1A-005"	"1"	"B"	"46+"	"male"	NA	"university education"	"552"	"spoken-dialogue-private-direct conversations"	"3"	NA	"miller"	"donald"	"jamaican"	"english"	"manager of the media house"	NA	"1995-1999"	"7 pm"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"107"	"1044"
"21"	"<ICE-JAM:$Z>"	"S1A-005"	"1"	"Z"	"26-45"	"female"	"master's degree"	"university education"	"553"	"spoken-dialogue-private-direct conversations"	"3"	"extra-corpus speaker"	"deuber"	"dagmar"	"german"	"german"	"researcher"	NA	"1995-1999"	"7 pm"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"4"	"0"
"22"	"<ICE-JAM:$?>"	"S1A-006"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"36"	"85"
"23"	"<ICE-JAM:$A>"	"S1A-006"	"1"	"A"	"46+"	"male"	NA	"university education"	"554"	"spoken-dialogue-private-direct conversations"	"3"	NA	"anonymous"	"anonymous"	"jamaican"	NA	"medical doctor at uwi hospital"	NA	"1995-1999"	"afternoon"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"127"	"1081"
"24"	"<ICE-JAM:$B>"	"S1A-006"	"1"	"B"	"26-45"	"male"	NA	"university education"	"555"	"spoken-dialogue-private-direct conversations"	"3"	NA	"anonymous"	"anonymous"	"jamaican"	"english"	"medical doctor at uwi hospital"	NA	"1995-1999"	"afternoon"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"105"	"803"
"25"	"<ICE-JAM:$C>"	"S1A-006"	"1"	"C"	"26-45"	"male"	NA	"university education"	"556"	"spoken-dialogue-private-direct conversations"	"3"	NA	"anonymous"	"anonymous"	"jamaican"	"english"	"medical doctor at uwi hospital"	NA	"1995-1999"	"afternoon"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"50"	"360"
"26"	"<ICE-JAM:$A>"	"S1A-007"	"1"	"A"	"18-25"	"male"	"bachelor's degree"	"university education"	"409"	"spoken-dialogue-private-direct conversations"	"4"	NA	"anonymous"	"anonymous"	"jamaican"	"english"	"computer technician"	NA	"1995-1999"	"3 pm"	"kingston, jamaica"	"international centre for environmental and nuclear sciences, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"96"	"2092"
"27"	"<ICE-JAM:$B>"	"S1A-007"	"1"	"B"	NA	"male"	NA	"secondary education"	"410"	"spoken-dialogue-private-direct conversations"	"4"	NA	NA	NA	"jamaican"	NA	NA	NA	"1995-1999"	"3 pm"	"kingston, jamaica"	"international centre for environmental and nuclear sciences, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"6"	"73"
"28"	"<ICE-JAM:$C>"	"S1A-007"	"1"	"C"	NA	"male"	NA	"secondary education"	"411"	"spoken-dialogue-private-direct conversations"	"4"	NA	NA	"william"	"jamaican"	NA	NA	NA	"1995-1999"	"3 pm"	"kingston, jamaica"	"international centre for environmental and nuclear sciences, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"2"	"4"
"29"	"<ICE-JAM:$Z>"	"S1A-007"	"1"	"Z"	"26-45"	"female"	"master's degree"	"university education"	"489"	"spoken-dialogue-private-direct conversations"	"4"	"extra-corpus speaker"	"deuber"	"dagmar"	"german"	"german"	"researcher"	NA	"1995-1999"	"3 pm"	"kingston, jamaica"	"international centre for environmental and nuclear sciences, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"33"	"0"
"30"	"<ICE-JAM:$A>"	"S1A-008"	"1"	"A"	"26-45"	"male"	NA	"secondary education"	"412"	"spoken-dialogue-private-direct conversations"	"2"	NA	"gordon"	"courtney"	"jamaican"	"english"	"lab technician"	NA	"1995-1999"	"3 pm"	"kingston, jamaica"	"international centre for environmental and nuclear sciences, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"173"	"2168"
"31"	"<ICE-JAM:$Z>"	"S1A-008"	"1"	"Z"	"26-45"	"female"	"master's degree"	"university education"	"490"	"spoken-dialogue-private-direct conversations"	"2"	"extra-corpus speaker"	"deuber"	"dagmar"	"german"	"german"	"researcher"	NA	"1995-1999"	"3 pm"	"kingston, jamaica"	"international centre for environmental and nuclear sciences, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"92"	"0"
"32"	"<ICE-JAM:$A>"	"S1A-009"	"1"	"A"	"18-25"	"female"	NA	NA	"659"	"spoken-dialogue-private-direct conversations"	"3"	NA	"duckie"	"melora"	"jamaican"	"english"	"student"	"uwi mona"	"2000-2004"	"9 pm"	"kingston, jamaica"	"preston hall, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"127"	"1003"
"33"	"<ICE-JAM:$B>"	"S1A-009"	"1"	"B"	"18-25"	"male"	NA	NA	"660"	"spoken-dialogue-private-direct conversations"	"3"	NA	"reid"	"cary"	"jamaican"	"english"	"student"	"uwi mona"	"2000-2004"	"9 pm"	"kingston, jamaica"	"preston hall, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"150"	"1050"
"34"	"<ICE-JAM:$Z>"	"S1A-009"	"1"	"Z"	"26-45"	"male"	"master's degree"	"university education"	"661"	"spoken-dialogue-private-direct conversations"	"3"	"extra-corpus speaker"	"hinrichs"	"lars"	"german"	"german"	"researcher"	NA	"2000-2004"	"9 pm"	"kingston, jamaica"	"preston hall, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"8"	"0"
"35"	"<ICE-JAM:$?>"	"S1A-010"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"18"	"40"
"36"	"<ICE-JAM:$A>"	"S1A-010"	"1"	"A"	NA	"female"	NA	NA	"662"	"spoken-dialogue-private-direct conversations"	"5"	NA	"anonymous"	"anonymous"	"jamaican"	NA	NA	NA	"2000-2004"	"3 pm"	"kingston, jamaica"	NA	NA	NA	NA	NA	"95"	"631"
"37"	"<ICE-JAM:$B>"	"S1A-010"	"1"	"B"	NA	"female"	NA	NA	"663"	"spoken-dialogue-private-direct conversations"	"5"	NA	NA	NA	"jamaican"	NA	NA	NA	"2000-2004"	"3 pm"	"kingston, jamaica"	NA	NA	NA	NA	NA	"60"	"433"
"38"	"<ICE-JAM:$C>"	"S1A-010"	"1"	"C"	"26-45"	"male"	NA	NA	"664"	"spoken-dialogue-private-direct conversations"	"5"	NA	"anonymous"	"anonymous"	"jamaican"	"english"	"computer technician"	NA	"2000-2004"	"3 pm"	"kingston, jamaica"	NA	NA	NA	NA	NA	"69"	"556"
"39"	"<ICE-JAM:$D>"	"S1A-010"	"1"	"D"	NA	"female"	NA	NA	"665"	"spoken-dialogue-private-direct conversations"	"5"	NA	NA	NA	"jamaican"	NA	NA	NA	"2000-2004"	"3 pm"	"kingston, jamaica"	NA	NA	NA	NA	NA	"3"	"8"
"40"	"<ICE-JAM:$E>"	"S1A-010"	"1"	"E"	"26-45"	"male"	NA	NA	"666"	"spoken-dialogue-private-direct conversations"	"5"	NA	"anonymous"	"@harry@"	"jamaican"	"english"	"musician/producer/engineer"	NA	"2000-2004"	"3 pm"	"kingston, jamaica"	NA	NA	NA	NA	NA	"43"	"284"
"41"	"<ICE-JAM:$?>"	"S1A-011"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3"	"1"
"42"	"<ICE-JAM:$A>"	"S1A-011"	"1"	"A"	"26-45"	"female"	"bachelor's degree"	"university education"	"667"	"spoken-dialogue-private-direct conversations"	"4"	NA	"williams"	"sandra theresa"	"jamaican"	"english/patois"	"student"	NA	"2000-2004"	"10:30 am"	"st. thomas, blue mountains"	NA	NA	NA	NA	NA	"120"	"1012"
"43"	"<ICE-JAM:$B>"	"S1A-011"	"1"	"B"	"18-25"	"female"	"bachelor's degree"	"university education"	"668"	"spoken-dialogue-private-direct conversations"	"4"	NA	"bloomfield"	"natalee"	"jamaican"	"english/patois"	"student"	NA	"2000-2004"	"10:30 am"	"st. thomas, blue mountains"	NA	NA	NA	NA	NA	"28"	"158"
"44"	"<ICE-JAM:$C>"	"S1A-011"	"1"	"C"	"26-45"	"female"	"bachelor's degree"	"university education"	"669"	"spoken-dialogue-private-direct conversations"	"4"	NA	"watt"	"stacy-ann"	"jamaican"	"english/patois"	"student"	NA	"2000-2004"	"10:30 am"	"st. thomas, blue mountains"	NA	NA	NA	NA	NA	"13"	"57"
"45"	"<ICE-JAM:$D>"	"S1A-011"	"1"	"D"	"26-45"	"female"	"master's degree"	"university education"	"670"	"spoken-dialogue-private-direct conversations"	"4"	NA	"bryan-ennis"	"michelle"	"jamaican"	"english/patois"	"administrator"	NA	"2000-2004"	"10:30 am"	"st. thomas, blue mountains"	NA	NA	NA	NA	NA	"98"	"816"
"46"	"<ICE-JAM:$A>"	"S1A-012"	"1"	"A"	"26-45"	"female"	"master's degree"	"university education"	"671"	"spoken-dialogue-private-direct conversations"	"4"	NA	"bryan-ennis"	"michelle"	"jamaican"	"english/patois"	"administrator"	NA	"2000-2004"	"10:30 am"	"st. thomas, blue mountains"	NA	NA	NA	NA	NA	"134"	"1383"
"47"	"<ICE-JAM:$B>"	"S1A-012"	"1"	"B"	"26-45"	"female"	"bachelor's degree"	"university education"	"672"	"spoken-dialogue-private-direct conversations"	"4"	NA	"williams"	"sandra theresa"	"jamaican"	"english/patois"	"student"	NA	"2000-2004"	"10:30 am"	"st. thomas, blue mountains"	NA	NA	NA	NA	NA	"86"	"667"
"48"	"<ICE-JAM:$C>"	"S1A-012"	"1"	"C"	"18-25"	"female"	"bachelor's degree"	"university education"	"673"	"spoken-dialogue-private-direct conversations"	"4"	NA	"bloomfield"	"natalee"	"jamaican"	"english/patois"	"student"	NA	"2000-2004"	"10:30 am"	"st. thomas, blue mountains"	NA	NA	NA	NA	NA	"11"	"25"
"49"	"<ICE-JAM:$D>"	"S1A-012"	"1"	"D"	"26-45"	"female"	"bachelor's degree"	"university education"	"674"	"spoken-dialogue-private-direct conversations"	"4"	NA	"watt"	"stacy-ann"	"jamaican"	"english/patois"	"student"	NA	"2000-2004"	"10:30 am"	"st. thomas, blue mountains"	NA	NA	NA	NA	NA	"1"	"3"
"50"	"<ICE-JAM:$A>"	"S1A-013"	"1"	"A"	"26-45"	"female"	"master's degree"	"university education"	"675"	"spoken-dialogue-private-direct conversations"	"5"	NA	"bryan-ennis"	"michelle"	"jamaican"	"english/patois"	"administrator"	NA	"2000-2004"	"10:30 am"	"st. thomas, blue mountains"	NA	NA	NA	NA	NA	"91"	"736"
"51"	"<ICE-JAM:$B>"	"S1A-013"	"1"	"B"	"18-25"	"female"	"bachelor's degree"	"university education"	"676"	"spoken-dialogue-private-direct conversations"	"5"	NA	"bloomfield"	"natalee"	"jamaican"	"english/patois"	"student"	NA	"2000-2004"	"10:30 am"	"st. thomas, blue mountains"	NA	NA	NA	NA	NA	"34"	"203"
"52"	"<ICE-JAM:$C>"	"S1A-013"	"1"	"C"	"26-45"	"female"	"bachelor's degree"	"university education"	"677"	"spoken-dialogue-private-direct conversations"	"5"	NA	"williams"	"sandra theresa"	"jamaican"	"english/patois"	"student"	NA	"2000-2004"	"10:30 am"	"st. thomas, blue mountains"	NA	NA	NA	NA	NA	"121"	"1031"
"53"	"<ICE-JAM:$D?>"	"S1A-013"	"1"	"D?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1"	"2"
"54"	"<ICE-JAM:$D>"	"S1A-013"	"1"	"D"	"26-45"	"female"	"bachelor's degree"	"university education"	"678"	"spoken-dialogue-private-direct conversations"	"5"	NA	"watt"	"stacy-ann"	"jamaican"	"english/patois"	"student"	NA	"2000-2004"	"10:30 am"	"st. thomas, blue mountains"	NA	NA	NA	NA	NA	"7"	"31"
"55"	"<ICE-JAM:$E>"	"S1A-013"	"1"	"E"	NA	"male"	NA	NA	"679"	"spoken-dialogue-private-direct conversations"	"5"	NA	NA	NA	"jamaican"	NA	NA	NA	"2000-2004"	"10:30 am"	"st. thomas, blue mountains"	NA	NA	NA	NA	NA	"8"	"33"
"56"	"<ICE-JAM:$A>"	"S1A-014"	"1"	"A"	"26-45"	"female"	"master's degree"	"university education"	"680"	"spoken-dialogue-private-direct conversations"	"3"	NA	"dayes"	"lara"	"jamaican"	"english"	"attorney-at-law"	NA	"2000-2004"	"11 am"	"new kingston, jamaica"	NA	NA	NA	NA	NA	"118"	"1644"
"57"	"<ICE-JAM:$B>"	"S1A-014"	"1"	"B"	"26-45"	"male"	"bachelor's degree"	"university education"	"681"	"spoken-dialogue-private-direct conversations"	"3"	NA	"dayes"	"nigel"	"jamaican"	"english"	"computer consultant"	NA	"2000-2004"	"11 am"	"new kingston, jamaica"	NA	NA	NA	NA	NA	"36"	"401"
"58"	"<ICE-JAM:$Z>"	"S1A-014"	"1"	"Z"	"26-45"	"male"	"master's degree"	"university education"	"682"	"spoken-dialogue-private-direct conversations"	"3"	"extra-corpus speaker"	"hinrichs"	"lars"	"german"	"german"	"researcher"	NA	"2000-2004"	"11 am"	"new kingston, jamaica"	NA	NA	NA	NA	NA	"146"	"0"
"59"	"<ICE-JAM:$A>"	"S1A-015"	"1"	"A"	NA	"female"	NA	NA	"683"	"spoken-dialogue-private-direct conversations"	"2"	NA	NA	NA	"jamaican"	NA	NA	NA	"2000-2004"	"11:15 am"	"kingston, jamaica"	"writing centre, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"74"	"430"
"60"	"<ICE-JAM:$B>"	"S1A-015"	"1"	"B"	"18-25"	"female"	"bachelor's degree"	"university education"	"684"	"spoken-dialogue-private-direct conversations"	"2"	NA	"morgan"	"kimberley"	"jamaican"	"english/patois"	"student"	"uwi mona"	"2000-2004"	"11:15 am"	"kingston, jamaica"	"writing centre, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"76"	"1613"
"61"	"<ICE-JAM:$A>"	"S1A-016"	"1"	"A"	NA	"female"	NA	NA	"685"	"spoken-dialogue-private-direct conversations"	"2"	NA	NA	NA	"jamaican"	NA	NA	NA	"2000-2004"	"11:15 am"	"kingston, jamaica"	"writing centre, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"53"	"339"
"62"	"<ICE-JAM:$B>"	"S1A-016"	"1"	"B"	"18-25"	"female"	"bachelor's degree"	"university education"	"686"	"spoken-dialogue-private-direct conversations"	"2"	NA	"morgan"	"kimberley"	"jamaican"	"english/patois"	"student"	"uwi mona"	"2000-2004"	"11:15 am"	"kingston, jamaica"	"writing centre, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"56"	"1708"
"63"	"<ICE-JAM:$A>"	"S1A-017"	"1"	"A"	"18-25"	"female"	NA	"university education"	"687"	"spoken-dialogue-private-direct conversations"	"2"	NA	"williams"	"kedisha"	"jamaican"	"english/patois"	"student"	"uwi mona"	"2000-2004"	"9:30 am"	"kingston, jamaica"	"library, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"76"	"316"
"64"	"<ICE-JAM:$B>"	"S1A-017"	"1"	"B"	"18-25"	"male"	NA	"secondary education"	"688"	"spoken-dialogue-private-direct conversations"	"2"	NA	"blair"	"andrae"	"jamaican"	"english/patois"	"student"	"uwi mona"	"2000-2004"	"9:30 am"	"kingston, jamaica"	"library, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"80"	"1826"
"65"	"<ICE-JAM:$A>"	"S1A-018"	"1"	"A"	NA	"female"	NA	NA	"689"	"spoken-dialogue-private-direct conversations"	"2"	NA	"anonymous"	"anonymous"	"jamaican"	"english/patois"	NA	NA	"2000-2004"	"12:30 pm"	"kingston, jamaica"	"carimac, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"108"	"231"
"66"	"<ICE-JAM:$B>"	"S1A-018"	"1"	"B"	"26-45"	"male"	"master's degree"	"university education"	"690"	"spoken-dialogue-private-direct conversations"	"2"	NA	"anonymous"	"anonymous"	"jamaican"	"english/patois"	"lecturer"	NA	"2000-2004"	"12:30 pm"	"kingston, jamaica"	"carimac, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"117"	"1775"
"67"	"<ICE-JAM:$A>"	"S1A-019"	"1"	"A"	"26-45"	"male"	"master's degree"	"university education"	"691"	"spoken-dialogue-private-direct conversations"	"2"	NA	"anonymous"	"<@>carrington</@>"	"jamaican"	"english/patois"	"lecturer"	NA	"2000-2004"	"12:30 pm"	"kingston, jamaica"	"carimac, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"125"	"1878"
"68"	"<ICE-JAM:$B>"	"S1A-019"	"1"	"B"	NA	"female"	NA	NA	"692"	"spoken-dialogue-private-direct conversations"	"2"	NA	"anonymous"	"anonymous"	"jamaican"	"english/patois"	NA	NA	"2000-2004"	"12:30 pm"	"kingston, jamaica"	"carimac, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"123"	"213"
"69"	"<ICE-JAM:$A>"	"S1A-020"	"1"	"A"	"26-45"	"male"	"master's degree"	"university education"	"693"	"spoken-dialogue-private-direct conversations"	"2"	NA	"anonymous"	"anonymous"	"jamaican"	"english/patois"	"lecturer"	NA	"2000-2004"	"12:30 pm"	"kingston, jamaica"	"carimac, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"149"	"1865"
"70"	"<ICE-JAM:$B>"	"S1A-020"	"1"	"B"	NA	"female"	NA	NA	"694"	"spoken-dialogue-private-direct conversations"	"2"	NA	"anonymous"	"anonymous"	"jamaican"	"english/patois"	NA	NA	"2000-2004"	"12:30 pm"	"kingston, jamaica"	"carimac, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"139"	"239"
"71"	"<ICE-JAM:$A>"	"S1A-021"	"1"	"A"	"18-25"	"female"	"bachelor's degree"	"university education"	"695"	"spoken-dialogue-private-direct conversations"	"2"	NA	"hill"	"kayanne"	"jamaican"	"english/patois"	"student"	"uwi mona"	"2000-2004"	"9:45 am"	"kingston, jamaica"	"writing centre, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"186"	"1661"
"72"	"<ICE-JAM:$B>"	"S1A-021"	"1"	"B"	"18-25"	"female"	NA	"university education"	"696"	"spoken-dialogue-private-direct conversations"	"2"	NA	"smith"	"daidrah"	"jamaican"	"english/patois"	"student"	"uwi mona"	"2000-2004"	"9:45 am"	"kingston, jamaica"	"writing centre, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"76"	"377"
"73"	"<ICE-JAM:$A>"	"S1A-022"	"1"	"A"	"18-25"	"female"	"bachelor's degree"	"university education"	"697"	"spoken-dialogue-private-direct conversations"	"2"	NA	"hill"	"kayanne"	"jamaican"	"english/patois"	"student"	"uwi mona"	"2000-2004"	"9:45 pm"	"kingston, jamaica"	"writing centre, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"158"	"1576"
"74"	"<ICE-JAM:$B>"	"S1A-022"	"1"	"B"	"18-25"	"female"	NA	"university education"	"698"	"spoken-dialogue-private-direct conversations"	"2"	NA	"smith"	"daidrah"	"jamaican"	"english/patois"	"student"	"uwi mona"	"2000-2004"	"9:45 pm"	"kingston, jamaica"	"writing centre, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"57"	"447"
"75"	"<ICE-JAM:$A>"	"S1A-023"	"1"	"A"	"18-25"	"female"	"bachelor's degree"	"university education"	"699"	"spoken-dialogue-private-direct conversations"	"2"	NA	"hill"	"kayanne"	"jamaican"	"english/patois"	"student"	"uwi mona"	"2000-2004"	"9:45 pm"	"kingston, jamaica"	"writing centre, university of the west indies, mona, kingston 7, jamaica"	NA	NA	NA	NA	"188"	"1273"
